state,source_family,role,enumeration_ids,grade_evidence,result_evidence,coach_evidence,access_class,report_ref,confidence
12-state,athletic_net_team_universe,PRIMARY (team identity),"TeamID (school-scoped, e.g. 3204 Middleton), TeamCode (""MIDD""), Level, SeasonID 2006-2027 (+indoor 12007-12027); per-state divListId","TeamNav/Team.grades = IDGrade 9..12 (school level, not athlete grade)",none (identity/nav only),none,"browser-session API (all non-robots paths 403 to curl, cf-mitigated challenge)",[01],verified
12-state,athletic_net_profile,RESULT-SOURCE (history/PR),"AthleteID (profile URL composable); grades[""{SchoolID}_{SeasonID}""] 10/11 season-bound; allTeams[].SchoolID",grades map: 2026 season GradeID 11 = Co2027 (observed Kingston Penn 3204_2026=11),"resultsTF[] 53 rows w/ IDResult, MeetID, EventID, ResultDate, PersonalBest bitmask; resultsXC separate call",NONE - verified absence of coach/staff/AD/email fields in GetAthleteBioData,browser-session API (403 curl; HAR2 #127),[02],verified
12-state,athletic_net_meet,RESULT-SOURCE (whole-meet refresh),MeetID (314 distinct in 707 ranking rows); per-row Grade/AgeGrade; TeamID,row Grade field in GetAllResultsData,"whole meet = 3 XHR (GetMeetData + GetEventDivisionData + GetAllResultsData), all rows incl. IDResult/AthleteID/TeamID/Place/Round",none,browser-session API; Meet/* absent from both HARs (shape from client code only),[03],verified (endpoint list) / shape unverified
12-state,athletic_net_id_graph,DISCOVERY baseline (keys),"45 id-bearing fields catalogued in data/atn-id-fields.csv; RelayTeamID != AthleteID; bio relayTeamMembers[].TeamID is a squad id space (29.1M-32.7M), disjoint from school TeamID",GradeID 11 in 2026-season row = Co2027,row-level marks live on rankings rows; join keys to meets/teams,none,"browser-session API; edge CF block, app reachable",[05],verified
12-state,athletic_net_rankings,DISCOVERY baseline,divListId per state+season; 180 rows/page; AthleteID/GradeID/TeamID/MeetID per row,qParams grades:[11] server-side filter (near-tight: 1 GradeID-12 leak in 323 rows; GradeID 99 = relay placeholder),best-mark-only rows (no history),none,browser-session API,[04],verified
12-state,coach_contact_graph [29],COACH-DIRECTORY (official association/school sources),"2,298 rows / 874 schools / 10 states in data/coach-contacts.csv (school, city, state, sport, role, coach_name, public_professional_email, ad_name, ad_email, source_url, last_observed); ~500 HTTP requests total",n/a - contact graph only,n/a - no meet results,"1,347 coach rows (51 w/ email) + 951 AD rows (573 w/ email); tier-1 per state: WI WIAA, MN MSHSL, IL IHSA, IA Bound, MI MHSAA admin API, OH OHSAA portal, KS KSHSAA API (526 schools/1 request, 100% AD email), NE NSAA, ND NDHSAA, SD Bound; MO + IN none","curl-friendly APIs (kshsaa-api, api.ihsa.org, my.mhsaa.com) + school-published HTML (Bound, WIAA, NDHSAA); no auth used",[29],verified (sampled; yields recorded per state)
WI,state_association (WIAA),PRIMARY (team universe) + COACH-DIRECTORY + ATHLETIC.NET-SEED,"516 member schools; TeamID from RunSportListReport (462 schools for 2026-27 Boys TF, SportSeasonID 1544); enrollment/division/district/co-op; school node ids; WIAA tournament MeetID set published by WIAA itself for 2026",Tournament result PDFs carry Yr (Yr=11 in 2025-26 = Co2027); no regular-season grade surface,Tournament-series only (regional/sectional/state): HTML + PDF; XC tournament page links live.pttiming.com mid=5127; 2026 T&F state MeetID 667524 via WIAA own links,"WIAA detail (1 req/school): 17/17 coach rows w/ email, 5/5 AD w/ email [29]; earlier 9-school sample 7-9/9 names + 9/9 >=1 TF/XC email [06]","open HTML + ASP.NET POST, no auth (no anti-forgery token); Cloudflare front, no challenge observed",[06],verified + sampled coach rate
WI,milesplit (wi.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),597 HS team records (TeamID); MeetID; AthleteID,"roster column-grad-year 2027 verified vs profile bio; state meet 2,454 rows 100% gradYear on individual rows","1 req/meet raw results (WIAA state 750759: 2,454 rows / 382 Co2027) - /api/ path is robots-DISALLOWED, peer-measured only","none (0 ""coach"" occurrences on team page)","robots-allowed: /teams, /teams/<id>/roster, /results, /meets; robots-disallowed: /api/, /rankings (paywalled)",[07][27],"verified (roster), peer-measured (results API)"
WI,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",976 T&F + 936 XC team records; 492 canonical schools; league page 1 request,FR/SO/JR/SR only on legacy HS event sheets; no 2026 live HS list,no live HS results; index page 95 rows / 0 HS-marked,none anywhere on DA (verified),"open HTML, no CF, no auth",[28],"verified (counts), REJECT as result source"
WI,athleticlive + timers,RESULT-SOURCE (+AN id bridge),PrimeTime exEntryLink -> AN MeetIDs (271 WI of 302 in 2025-26 lists); TrackSide/K2/OnYourMarks tenants,PrimeTime/Hy-Tek Year column; Performance Timing XC PDFs Grade 9-12,PrimeTime JSON API (319 meets 2025 / 255 2026 WI); Performance Timing PDF archive; live.pttiming ToU-restricted,none (no coach/AD data in any timer source),public JSON (pttiming.com/api/results/current); PDFs; live.pttiming.com ToU prohibits automated use,[08],verified
