id_name,sample_value,source_request,notes
AthleteID,28872883,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0]","Person key. 1:1 with an athlete record; national namespace shared by all sports/levels. Rows: 667 individual / 180 in the retained div page; delivery workbook holds 142,705 distinct AthleteIDs over 142,705 rows."
AthleteID (relay placeholder),32663189,POST /api/v1/tfRankings/GetRankings -> groupedRankings[8][0] + relayTeams[295310302],"On relay result rows AthleteID is NOT an athlete: it equals the row's RelayTeamID and GradeID is the 99 placeholder. Distinguish structurally, not by numeric range."
IDAthlete,28872883,GET /api/v1/AthleteBio/GetAthleteBioData?athleteId=28872883&sport=tf&level=0 -> athlete.IDAthlete,Bio-side alias of AthleteID.
IDAthlete (relay member),25643255,POST /api/v1/tfRankings/GetRankings -> groupedRankings[8][0] + relayTeams[295310302].Members[0].IDAthlete,Roster member athlete id; same namespace as AthleteID.
IDResult,292277081,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].IDResult","Result (one athlete, one mark, one meet entry). Same value is exposed by the bio payload, so result rows can be deduped across endpoints."
IDResult (relayTeams key),295310302,POST /api/v1/tfRankings/GetRankings -> relayTeams['<IDResult>'],relayTeams is a JSON object keyed by the *string* form of IDResult.
RelayTeamID,31701512,POST /api/v1/tfRankings/GetRankings -> groupedRankings[8][0] + relayTeams[295310302].RelayTeamID,"Relay squad id. Equals the placeholder AthleteID of the row it belongs to. Numeric range 31,701,512-32,725,060 overlaps the AthleteID range numerically, so a range check cannot separate the two namespaces."
TeamID,3204,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].TeamID",High-school team (school-instance) id. 0 is used for unattached rows (row TeamName 'Unattached').
IDSchool / SchoolID,3204,GET /api/v1/AthleteBio/GetAthleteBioData?athleteId=28872883&sport=tf&level=0 -> resultsTF[].SchoolID / allTeams key,Same namespace as TeamID: bio SchoolID 3204 is the same entity as rankings TeamID 3204 'Middleton' (verified for athlete 28872883).
IDSchool (other level),57750,GET /api/v1/TeamNav/Team?team=3204&sport=tf&season=2026 -> linkedTeams[].IDSchool,"Feeder/sibling school ids in the same TeamID namespace, Level 2 = middle school."
MeetID,634313,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].MeetID","Meet instance id; observed 620,489-670,436 (314 distinct) in the retained pages, 594,374-667,524 in the bio payload."
IDMeet,610825,GET /api/v1/AthleteBio/GetAthleteBioData?athleteId=28872883&sport=tf&level=0 -> meets['<MeetID>'].IDMeet,Bio-side alias of MeetID; the meets map is keyed by the string MeetID.
EventID,1,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].EventID","Event id, gender-qualified: e.g. 200m is 2 (boys) / 20 (girls), 4x100 is 7 / 25. Meaning is only well defined together with the division's gender."
IDEvent,1,GET /api/v1/AthleteBio/GetAthleteBioData?athleteId=28872883&sport=tf&level=0 -> eventsTF[].IDEvent,Metadata side of the event join: eventsTF[].IDEvent == resultsTF[].EventID.
EventTypeID / IDEventType,0,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].EventTypeID; GET /api/v1/AthleteBio/GetAthleteBioData?athleteId=28872883&sport=tf&level=0 -> eventsTF[].IDEventType",Carries 0 on every row in both captures; not usable as a track/field discriminator here (the nav event list's t field is T/F).
GradeID,11,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].GradeID","9-12 high school; 99 = relay placeholder; 6-8 and 21-24 also appear in GetAgesGrades. Grade is a season-scoped observation, not an athlete property."
SeasonID,2026,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].SeasonID; POST /api/v1/tfRankings/GetRankings (body divListId=170770) -> top-level 'division' object.SeasonID",2026 = outdoor; indoor uses a leading 1 (12026) on division.SeasonID per repo division.rs and the girls fixture.
division.ID / divListId,170770,POST /api/v1/tfRankings/GetRankings body {divListId}; GET GetNavInfo -> divListId,Rankings scope list id (170770 = Wisconsin 2026 outdoor). One list serves both genders; gender is a separate request field / route segment.
levelDivId,168416,GET /api/v1/tfRankings/GetNavInfo?seasonId=2026&level=4&gender=m -> levelDivId,Level list (168416 = USA High School).
countryDivId,167952,GET /api/v1/tfRankings/GetNavInfo -> countryDivId,Country division (167952 = United States).
regionDivId,170770,GET /api/v1/tfRankings/GetNavInfo -> regionDivId,Currently selected region list; equals divListId on a state-scoped page (170770).
division.ParentID,168416,POST /api/v1/tfRankings/GetRankings (body divListId=170770) -> top-level 'division' object.ParentID,Parent scope: 168416 (HS level list) for the Wisconsin outdoor list; 167952 (country) for the synthetic indoor list 173005.
division.BaseDivID / BaseDiv.ID,638,POST /api/v1/tfRankings/GetRankings (body divListId=170770) -> top-level 'division' object.BaseDivID / .BaseDiv.ID,Legacy base division id (638 = Wisconsin) that survives list re-creation; breadcrumbs expose the same value as BaseDivID.
IDBaseDiv,709,GET /api/v1/SiteHeader/GetDivChildren?sport=tf&divId=170771 -> divInfo[].IDBaseDiv,Base division of the child scope (709 = Wisconsin Division 1).
DivIDDivision,170772,GET /api/v1/SiteHeader/GetDivChildren?sport=tf&divId=170771 -> divInfo[].DivIDDivision,Child division list id (Sectional 1).
IDDivision,172497,GET /api/v1/TeamNav/Team?team=3204&sport=tf&season=2026 -> customDivisions[].IDDivision,Conference/division membership id (Big Eight).
EventSelectionID,58,POST /api/v1/tfRankings/GetRankings (body divListId=170770) -> top-level 'division' object.EventSelectionID,Selector for the event set a list ranks over; 11534 for indoor list 173005 (repo synthetic fixture).
RegionID,58,POST /api/v1/tfRankings/GetRankings (body divListId=170770) -> top-level 'division' object.BaseDiv.RegionID,Association/region grouping id for the base division (58 = Wisconsin).
recordSetId,0,GET /api/v1/tfRankings/GetStandards?recordsetId=null&eventId=null&eventTypeId=null; TeamNav; GetAgesGrades body,Record-set scope (all-time/meet/venue records). GetStandards returned an empty array; nav recordSets is null.
locationId,0,GET /api/v1/tfRankings/GetNavInfo?locationId=0; route /rankings/venue-records/:locationId,Venue scope id for venue records.
qualifyingListKey,,POST /api/v1/tfRankings/GetRankings body qualifyingListKey; route /rankings/:qualifyingListKey/:divListId,"Custom qualifying-list key; empty string = not used. String, not numeric."
calendarId,0,GET /api/v1/SiteHeader/GetBreadcrumbs?...&calendarId=0,Calendar scope parameter on the breadcrumb endpoint.
TeamCode,MIDD,GET /api/v1/TeamNav/Team?team=3204 -> team.TeamCode,Human-facing team code; stable mnemonic but not unique across years/states.
Handle,AntonioJackson4,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].Handle",Athlete handle when the account set one; absent on many rows and on 38/160 relay members.
shortCode,VPiXK5dHri4J1oNsm,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].shortCode",Per-result public permalink key -> https://www.athletic.net/result/{shortCode}. Independent of IDResult and not numeric.
Profile URL,https://www.athletic.net/athlete/28872883/track-and-field,captured page URL (www.athletic.net.har page_9) / SPA athleteBioUrl pipe,AthleteID -> public profile URL; /athlete/{id}/cross-country for XC.
Team URL,https://www.athletic.net/team/3204/track-and-field-outdoor,angular bundle team-header.component-DfX5ODlT.js setUrls(),TeamID -> team page; also -indoor and /cross-country variants.
Meet URL,https://www.athletic.net/TrackAndField/meet/634313,angular bundle chunk-BXK99FuV2.js rootPath,MeetID -> meet page; /TrackAndField/meet/{id}/results/{...} for a result view.
List URL,https://www.athletic.net/TrackAndField/rankings/list/170770/m/100m?grades=11&page=17,tf-rankings.routes-CeE2uDyE.js routes + captured page URL,divListId + gender + eventShort + grades + page are the rankings navigation keys.
UserId,,GET /api/v1/SignedInUser/GetSignedInUser (field names only reported),"Account namespace, distinct from AthleteID; not a recruiting identity."
IdUAthlete,,GET /api/v1/SignedInUser/GetUserAthletes2 -> [].IdUAthlete,User<->athlete claim link row id.
LinkID (follows),,GET /api/v1/SignedInUser/GetSignedInUser -> follows[].LinkID with follows[].Type,"Polymorphic target id typed by Type (A = athlete, TTFI/TTFO = team TF, MeetTF = meet); account-contextual, never a join key for public data."
ReplacementID / SourceID,0,GET /api/v1/SignedInUser/GetUserAthletes2 -> [].Athlete.ReplacementID / SourceID,Merge provenance for duplicate athlete records; 0 = none.
UsatfId,,GET /api/v1/AthleteBio/GetAthleteBioData -> athlete.UsatfId,External USATF membership id; null for the captured athletes.
rowNum / rank,1,"POST /api/v1/tfRankings/GetRankings (body divListId=170770, gender=m) -> groupedRankings[][0].rowNum / .rank","Position within the ranking query, not an identifier: both restart/repeat across pages and rank is used to detect page overlap."
